category	TPH_C06	TPH_C07	TPH_C08	TPH_C09-C10	TPH_C11-C12	TPH_C13-C14	TPH_C15-C16	TPH_C17-C18	TPH_C19-C20	TPH_C21-C22	TPH_C23-C24	TPH_C25-C28	TPH_C29-C32	TPH_C33-C36
gasoline	1.969177745	2.257176797	2.245428741	3.519422513	1.358893044	0	0	0	0	0	0	0	0	0
diesel	0	0.317137389	0.871038888	2.99610372	4.039847984	4.407125577	4.196105557	3.519692929	2.513465727	1.353441376	0.316234109	0	0	0
kerosene	0	0	0.338044686	3.670562324	5.451967797	5.062341545	3.182672382	0.819371867	0	0	0	0	0	0
bunker C	0	0	0	0.853987462	2.297346552	3.355809885	4.02937746	4.318049278	4.221825339	3.740705642	2.874690188	0	0	0
heavy fuel oil	0	0	0	0.150943108	0.580968666	1.164575693	1.817014511	2.474340383	3.084165599	3.602355399	3.991571624	8.485382047	7.837262528	5.499868144
crude oil	0.911038841	1.127628519	1.30010306	2.986596088	3.33249268	3.516914295	3.571422288	3.518601826	3.37627156	3.159498854	2.881727282	4.748516605	3.215849334	1.657993589
gasoline	1.476883309	1.692882598	1.684071556	2.639566885	1.019169783	0	0	0	0	0	0	0	0	0
diesel	0	0.237853042	0.653279166	2.24707779	3.029885988	3.305344183	3.147079168	2.639769697	1.885099295	1.015081032	0.237175582	0	0	0
kerosene	0	0	0.253533515	2.752921743	4.088975848	3.796756159	2.387004287	0.6145289	0	0	0	0	0	0
bunker C	0	0	0	0.640490596	1.723009914	2.516857414	3.022033095	3.238536959	3.166369004	2.805529232	2.156017641	0	0	0
heavy fuel oil	0	0	0	0.113207331	0.4357265	0.87343177	1.362760883	1.855755287	2.313124199	2.701766549	2.993678718	6.364036535	5.877946896	4.124901108
crude oil	0.683279131	0.845721389	0.975077295	2.239947066	2.49936951	2.637685721	2.678566716	2.638951369	2.53220367	2.369624141	2.161295462	3.561387454	2.411887001	1.243495192
gasoline	2.461472181	2.821470997	2.806785927	4.399278142	1.698616305	0	0	0	0	0	0	0	0	0
diesel	0	0.396421737	1.08879861	3.74512965	5.04980998	5.508906972	5.245131947	4.399616161	3.141832158	1.69180172	0.395292636	0	0	0
kerosene	0	0	0.422555858	4.588202906	6.814959746	6.327926931	3.978340478	1.024214834	0	0	0	0	0	0
bunker C	0	0	0	1.067484327	2.87168319	4.194762356	5.036721825	5.397561598	5.277281674	4.675882053	3.593362735	0	0	0
heavy fuel oil	0	0	0	0.188678885	0.726210833	1.455719616	2.271268139	3.092925479	3.855206999	4.502944249	4.98946453	10.60672756	9.79657816	6.87483518
crude oil	1.138798552	1.409535649	1.625128825	3.733245109	4.16561585	4.396142868	4.46427786	4.398252282	4.22033945	3.949373568	3.602159103	5.935645757	4.019811668	2.072491986
